symbol,settl,trades,volume,amount,first_price,last_price,high,low,variation_pct,first_trade_at,last_trade_at
AAISA,T2,42,45827.0,18300741.07,401.63,398.0,401.63,398.0,-0.903816945945272,2026-03-02T09:30:31.284000,2026-03-02T15:17:13.522000
ABC,T2,14,154306.0,2129378.95,13.8,13.8,13.8,13.7,0.0,2026-03-02T09:56:59.492000,2026-03-02T13:03:12.459000
AGUAS-A,T2,1818,4071289.0,1465463837.5699954,368.0,356.01,368.0,356.01,-3.258152173913046,2026-03-02T09:23:46.134000,2026-03-02T16:00:12.833000
ALMENDRAL,T2,4,4807.0,132647.68,27.28,27.25,27.7,27.25,-0.10997067448680767,2026-03-02T10:01:24.421000,2026-03-02T15:11:44.427000
ANDINA-A,T2,43,2985.0,10791266.0,3676.0,3600.0,3676.0,3600.0,-2.067464635473341,2026-03-02T09:23:38.919000,2026-03-02T16:00:01.700000
ANDINA-B,T2,1587,1305607.0,5370806767.299995,4205.0,4120.5,4205.0,4020.0,-2.009512485136742,2026-03-02T09:30:09.519000,2026-03-02T16:00:02.786000
ANTARCHILE,T2,10,3875.0,31173777.099999998,8046.4,8069.0,8106.9,8026.6,0.280870948498712,2026-03-02T10:37:08.692000,2026-03-02T15:09:07.470000
AZUL AZUL,T2,1,39.0,18720.0,480.0,480.0,480.0,480.0,0.0,2026-03-02T12:59:41.494000,2026-03-02T12:59:41.494000
BANVIDA,T2,2,5024.0,3657584.0,735.0,728.0,735.0,728.0,-0.9523809523809524,2026-03-02T13:33:53.679000,2026-03-02T16:00:13.718000
BCI,T2,3622,134767.0,7768776072.0,57715.0,56900.0,58999.0,56900.0,-1.4121112362470762,2026-03-02T09:23:38.775000,2026-03-02T16:00:18.769000
BESALCO,T2,8,1510.0,2012204.0,1353.0,1345.0,1353.0,1330.0,-0.5912786400591279,2026-03-02T09:23:46.460000,2026-03-02T15:18:16.533000
BICE,T2,100,267686.0,107319390.66999999,407.75,401.0,407.75,396.03,-1.655426118945432,2026-03-02T09:31:45.296000,2026-03-02T15:44:00.813000
BIIBCL,T2,1,10.0,1670700.0,167070.0,167070.0,167070.0,167070.0,0.0,2026-03-02T12:10:17.191000,2026-03-02T12:10:17.191000
BSANTANDER,T2,12268,126218242.0,9155222243.840023,72.8,71.8,73.98,71.8,-1.3736263736263736,2026-03-02T09:23:45.360000,2026-03-02T16:00:08.782000
CAMANCHACA,T2,10,180257.0,15402976.379999999,87.07,84.91,87.5,84.91,-2.480762604800731,2026-03-02T09:23:45.922000,2026-03-02T15:35:52.640000
CAP,T2,1125,127145.0,876986212.6000019,7035.9,6883.0,7035.9,6751.0,-2.173140607456042,2026-03-02T09:23:41.982000,2026-03-02T16:00:09.798000
CAROZZI,T2,6,163.0,589950.0,3600.0,3650.0,3650.0,3600.0,1.3888888888888888,2026-03-02T10:20:49.646000,2026-03-02T15:20:45.558000
CCU,T2,1605,805474.0,4622822583.599997,5800.0,5660.0,5937.9,5600.0,-2.413793103448276,2026-03-02T09:23:46.080000,2026-03-02T16:00:07.826000
CEMENTOS,T2,2,80.0,133162.0,1520.0,1712.7,1712.7,1520.0,12.677631578947372,2026-03-02T09:23:38.666000,2026-03-02T09:30:13.350000
CENCOMALLS,T2,778,1039558.0,2538250038.9000015,2530.5,2420.4,2599.9,2410.0,-4.350918790752812,2026-03-02T09:23:44.801000,2026-03-02T16:00:03.760000
CENCOSUD,T2,4181,2590024.0,7035821836.000002,2728.1,2700.0,2760.0,2661.1,-1.0300208936622524,2026-03-02T09:23:43.133000,2026-03-02T16:00:18.659000
CFI-ETFUSD,T2,2,73.0,771.384,10.56,10.56,10.568,10.56,0.0,2026-03-02T12:55:14.650000,2026-03-02T12:55:14.650000
