symbol,bucket_start,open,high,low,close,volume,amount,trades
BSANTANDER,2026-03-02T09:23:00,72.8,72.8,72.8,72.8,168300.0,12252240.0,22
BSANTANDER,2026-03-02T09:30:00,73.5,73.5,72.8,72.8,101352.0,7398225.6,10
BSANTANDER,2026-03-02T09:31:00,73.98,73.98,72.8,72.8,1253.0,91879.2,4
BSANTANDER,2026-03-02T09:32:00,72.81,72.81,72.81,72.81,1263.0,91959.03,2
BSANTANDER,2026-03-02T09:36:00,72.85,73.79,72.85,72.85,11873.0,874348.05,4
BSANTANDER,2026-03-02T09:38:00,72.86,72.86,72.86,72.86,10526.0,766924.36,2
BSANTANDER,2026-03-02T09:39:00,72.91,72.91,72.85,72.85,255778.0,18645697.860000003,14
BSANTANDER,2026-03-02T09:43:00,73.77,73.77,72.85,72.85,22573.0,1660706.0599999998,6
BSANTANDER,2026-03-02T09:45:00,72.91,72.91,72.9,72.9,33098.0,2413118.38,4
BSANTANDER,2026-03-02T09:46:00,73.71,73.71,73.0,73.0,4261.0,313927.07999999996,2
BSANTANDER,2026-03-02T09:47:00,73.0,73.71,73.0,73.0,7854.0,575518.15,4
BSANTANDER,2026-03-02T09:52:00,73.02,73.02,73.01,73.01,2632.0,192187.32,2
BSANTANDER,2026-03-02T09:54:00,73.48,73.48,73.01,73.01,313.0,22987.72,4
BSANTANDER,2026-03-02T09:59:00,73.31,73.31,73.01,73.01,32322.0,2368112.8800000004,17
BSANTANDER,2026-03-02T10:00:00,73.26,73.26,73.0,73.0,9227.0,675681.9400000001,14
BSANTANDER,2026-03-02T10:01:00,73.0,73.0,72.02,72.75,2011866.0,146479787.21,102
BSANTANDER,2026-03-02T10:02:00,72.75,72.75,72.75,72.75,714.0,51943.5,7
BSANTANDER,2026-03-02T10:04:00,72.8,72.8,72.76,72.76,11875.0,864443.0000000001,13
BSANTANDER,2026-03-02T10:05:00,72.76,72.8,72.75,72.78,223815.0,16293152.919999998,16
BSANTANDER,2026-03-02T10:07:00,72.81,72.81,72.78,72.78,33783.0,2459658.99,9
BSANTANDER,2026-03-02T10:08:00,72.87,72.92,72.87,72.92,62939.0,4589327.700000001,9
BSANTANDER,2026-03-02T10:09:00,72.92,72.92,72.92,72.92,7299.0,532243.0800000001,7
BSANTANDER,2026-03-02T10:10:00,72.92,72.92,72.92,72.92,27729.0,2021998.68,1
BSANTANDER,2026-03-02T10:13:00,72.99,72.99,72.92,72.92,24557.0,1790744.32,18
BSANTANDER,2026-03-02T10:15:00,72.99,72.99,72.93,72.93,922.0,67290.12000000001,5
BSANTANDER,2026-03-02T10:16:00,72.94,72.94,72.92,72.92,3091.0,225431.23000000007,8
BSANTANDER,2026-03-02T10:18:00,72.93,72.93,72.92,72.92,542.0,39527.409999999996,5
BSANTANDER,2026-03-02T10:19:00,72.92,72.93,72.92,72.92,1106.0,80649.81999999998,10
BSANTANDER,2026-03-02T10:20:00,72.92,72.93,72.92,72.92,27831.0,2029633.3600000003,26
BSANTANDER,2026-03-02T10:21:00,72.93,73.0,72.92,72.96,1550161.0,113143572.81999998,71
BSANTANDER,2026-03-02T10:24:00,72.97,72.97,72.97,72.97,1050.0,76618.5,1
BSANTANDER,2026-03-02T10:25:00,72.97,72.97,72.97,72.97,144.0,10507.679999999997,6
BSANTANDER,2026-03-02T10:26:00,73.23,73.24,73.03,73.04,128.0,9371.420000000002,8
BSANTANDER,2026-03-02T10:27:00,73.09,73.24,73.0,73.02,2704.0,197571.66999999998,15
BSANTANDER,2026-03-02T10:28:00,73.0,73.22,72.97,72.98,125443.0,9156626.249999998,72
BSANTANDER,2026-03-02T10:30:00,73.0,73.27,73.0,73.27,45162.0,3299662.15,28
BSANTANDER,2026-03-02T10:32:00,73.27,73.27,73.0,73.0,1236.0,90521.48999999999,10
BSANTANDER,2026-03-02T10:34:00,73.02,73.27,73.01,73.01,13.0,949.7399999999999,4
BSANTANDER,2026-03-02T10:35:00,73.01,73.37,73.01,73.35,708753.0,51784366.400000006,63
BSANTANDER,2026-03-02T10:36:00,73.02,73.41,73.02,73.02,107971.0,7919379.12,35
BSANTANDER,2026-03-02T10:40:00,73.3,73.35,73.3,73.3,1718.0,125942.3,12
BSANTANDER,2026-03-02T10:43:00,73.35,73.38,73.06,73.06,98733.0,7234068.71,68
BSANTANDER,2026-03-02T10:46:00,73.21,73.32,73.06,73.3,24565.0,1796196.8699999996,21
BSANTANDER,2026-03-02T10:47:00,73.07,73.3,73.06,73.28,6439.0,470656.01000000007,22
BSANTANDER,2026-03-02T10:48:00,73.12,73.18,73.07,73.08,3758.0,274765.63000000006,30
BSANTANDER,2026-03-02T10:50:00,73.17,73.22,73.05,73.05,131145.0,9596912.600000005,51
BSANTANDER,2026-03-02T10:54:00,73.05,73.21,73.05,73.05,1826.0,133433.13999999998,10
BSANTANDER,2026-03-02T10:58:00,73.21,73.21,73.06,73.06,2068.0,151362.28000000003,12
BSANTANDER,2026-03-02T10:59:00,73.06,73.21,73.05,73.05,1840.0,134471.76999999996,13
BSANTANDER,2026-03-02T11:02:00,73.06,73.21,72.82,72.82,493350.0,36008382.84000001,86
BSANTANDER,2026-03-02T11:03:00,72.82,73.01,72.8,72.82,148550.0,10819155.569999991,74
